City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Qasigiannguit,GL,2022-06-14 03:54:36,68.8193,-51.1922,25.52,87,32,4.25
106,Linxia,CN,2022-06-14 03:54:36,35.6003,103.2064,75.87,21,0,3.0
107,Gambela,ET,2022-06-14 03:54:37,8.25,34.5833,69.42,92,100,4.12
108,Rocha,UY,2022-06-14 03:52:26,-34.4833,-54.3333,47.55,96,39,6.64
109,Vaini,TO,2022-06-14 03:45:00,-21.2,-175.2,80.76,78,20,5.75
110,Tuktoyaktuk,CA,2022-06-14 03:45:01,69.4541,-133.0374,39.2,81,20,12.66
111,Cherskiy,RU,2022-06-14 03:47:41,68.75,161.3,69.39,23,11,9.1
112,Bethel,US,2022-06-14 03:45:04,41.3712,-73.414,71.91,75,0,0.0
113,San Antonio,US,2022-06-14 03:54:38,29.4241,-98.4936,85.26,70,0,21.85
114,Dudinka,RU,2022-06-14 03:54:38,69.4058,86.1778,63.48,46,100,15.82
115,Norsup,VU,2022-06-14 03:54:38,-16.0667,167.3833,82.22,71,15,10.29
116,Saint Anthony,US,2022-06-14 03:53:37,45.0205,-93.218,74.14,88,100,9.22
117,East London,ZA,2022-06-14 03:50:15,-33.0153,27.9116,72.54,37,0,6.91
118,Alexandria,EG,2022-06-14 03:50:50,31.2156,29.9553,71.56,83,40,5.75
119,Kaitangata,NZ,2022-06-14 03:50:25,-46.2817,169.8464,40.28,85,88,19.64
120,Fare,PF,2022-06-14 03:54:40,-16.7,-151.0167,79.66,69,17,20.65
121,Itoman,JP,2022-06-14 03:54:40,26.1247,127.6694,88.57,86,75,16.11
122,Jhalrapatan,IN,2022-06-14 03:54:41,24.55,76.1667,93.36,43,78,13.85
123,Asau,RO,2022-06-14 03:54:41,46.4333,26.4,60.28,91,72,1.48
124,Brae,GB,2022-06-14 03:50:23,60.3964,-1.353,50.72,91,95,12.01
125,Norman Wells,CA,2022-06-14 03:54:41,65.282,-126.8329,51.84,62,40,11.5
126,Faanui,PF,2022-06-14 03:51:44,-16.4833,-151.75,79.86,71,11,21.81
127,Saskylakh,RU,2022-06-14 03:46:31,71.9167,114.0833,73.13,26,100,4.85
128,Hami,CN,2022-06-14 03:51:42,42.8,93.45,98.29,3,14,4.83
129,Isiro,CD,2022-06-14 03:54:42,2.7739,27.616,63.9,99,70,0.85
130,Bowen,AU,2022-06-14 03:53:17,-20.0167,148.2333,71.69,57,26,11.45
131,Talnakh,RU,2022-06-14 03:46:33,69.4865,88.3972,68.9,40,92,1.57
132,Boa Vista,BR,2022-06-14 03:54:43,2.8197,-60.6733,76.98,83,40,0.0
133,Severo-Kurilsk,RU,2022-06-14 03:46:29,50.6789,156.125,45.7,89,89,12.37
134,Dhankuta,NP,2022-06-14 03:54:43,26.9833,87.3333,74.26,79,67,5.01
135,Skjervoy,NO,2022-06-14 03:54:44,70.0311,20.9714,44.6,91,100,7.0
136,Abnub,EG,2022-06-14 03:54:44,27.2696,31.1511,77.22,35,0,5.06
137,Thompson,CA,2022-06-14 03:54:45,55.7435,-97.8558,69.96,40,40,3.44
138,Sarangani,PH,2022-06-14 03:54:45,5.4033,125.4636,84.16,69,100,9.51
139,Hilo,US,2022-06-14 03:46:22,19.7297,-155.09,82.27,96,100,10.36
140,Gravelbourg,CA,2022-06-14 03:54:46,49.8834,-106.5512,56.8,82,85,14.23
141,Aksarka,RU,2022-06-14 03:54:46,66.5606,67.7975,43.7,62,100,10.13
142,Aguimes,ES,2022-06-14 03:54:46,27.9054,-15.4461,66.83,83,75,14.97
143,Pisco,PE,2022-06-14 03:52:47,-13.7,-76.2167,62.65,67,100,8.05
144,Port Hardy,CA,2022-06-14 03:54:07,50.6996,-127.4199,51.98,87,40,3.44
145,Graham,US,2022-06-14 03:54:47,47.0529,-122.2943,54.16,80,100,16.11
146,Kongsberg,NO,2022-06-14 03:54:47,59.6652,9.6465,54.37,67,20,5.99
147,Yar-Sale,RU,2022-06-14 03:46:27,66.8333,70.8333,44.53,69,99,15.03
148,Longyearbyen,SJ,2022-06-14 03:54:48,78.2186,15.6401,40.84,70,75,11.5
149,Buchanan,LR,2022-06-14 03:54:48,5.8808,-10.0467,77.27,76,47,6.24
150,Letlhakane,BW,2022-06-14 03:54:49,-21.4167,25.5833,50.0,60,0,6.76
151,Tigil,RU,2022-06-14 03:54:49,57.8,158.6667,50.58,65,90,6.15
152,Canguaretama,BR,2022-06-14 03:54:50,-6.38,-35.1289,72.79,85,5,5.55
153,Kota Bahru,MY,2022-06-14 03:54:50,6.1333,102.2386,87.75,62,20,5.01
154,Christchurch,NZ,2022-06-14 03:50:05,-43.5333,172.6333,55.9,65,76,10.36
155,Cape Town,ZA,2022-06-14 03:40:24,-33.9258,18.4232,54.27,92,75,7.0
156,Broome,US,2022-06-14 03:49:05,42.2506,-75.833,60.01,78,0,4.61
