City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Batagay,RU,64.62,scattered clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
244,Muros,ES,70.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
245,Yambio,SS,65.66,light rain,4.5721,28.3955,Naivasha Hotel
246,Eureka,US,64.2,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
247,Fare,PF,80.35,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
248,Korla,CN,85.6,broken clouds,41.7597,86.1469,Gulisitan Hotel
249,Mount Gambier,AU,56.53,broken clouds,-37.8333,140.7667,The Commodore
250,Oktyabrskoye,RU,62.35,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
253,Kalianget,ID,83.21,broken clouds,-7.05,113.9333,Pesanggrahan Garam
254,Zarnovica,SK,56.39,few clouds,48.4812,18.7157,Villa Silver Green
255,Warri,NG,74.21,overcast clouds,5.5167,5.75,BON Hotel Delta
256,Burhaniye,TR,69.71,clear sky,39.5004,26.9727,Hotel Nova
257,Stykkisholmur,IS,45.79,scattered clouds,65.0757,-22.7297,Fosshótel Stykkishólmur
258,Mirnyy,RU,69.24,scattered clouds,62.5353,113.9611,квартира
259,Yatou,CN,71.91,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
261,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
262,Zhezkazgan,KZ,64.38,clear sky,47.8043,67.7144,Hotel Zumrat
263,Monte Alegre,BR,72.54,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
264,Longkou,CN,73.74,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
265,Petatlan,MX,80.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
266,Sicuani,PE,43.32,clear sky,-14.2694,-71.2261,Wilkamayu Hotel
267,Gedo,ET,49.26,broken clouds,9.0167,37.45,Mida Qanyi
268,Kulhudhuffushi,MV,82.72,overcast clouds,6.6221,73.07,Haajy Guest House 1
269,Burgersdorp,ZA,29.59,clear sky,-30.9977,26.3286,DeKat Self Catering
271,Cruzeiro Do Sul,BR,59.5,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
272,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,Kimbe,PG,88.41,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
275,Aldergrove,CA,57.99,overcast clouds,49.058,-122.4709,Best Western Plus Country Meadows Inn
277,Pandan,PH,86.83,scattered clouds,14.0453,124.1694,Bonifacio Lodge
278,Amga,RU,66.45,broken clouds,60.8953,131.9608,Algys
279,Vila,PT,61.68,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
281,Dravograd,SI,61.05,few clouds,46.5881,15.0192,"HOTEL KOROŠICA, KOROŠICA, d.o.o."
283,Kaeo,NZ,61.86,scattered clouds,-35.1,173.7833,Bushido Lodge
284,Lompoc,US,73.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
285,San Ignacio,BZ,77.14,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
286,Shitanjing,CN,84.11,clear sky,39.2342,106.3439,Yingbin Hotel
287,Hoima,UG,65.05,overcast clouds,1.4356,31.3436,Tik Hotel
288,Shache,CN,79.72,broken clouds,38.4167,77.2406,Delong Hotel
289,Pochutla,MX,73.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
290,Torbay,CA,41.88,few clouds,47.6666,-52.7314,Gallows Cove
291,Lorengau,PG,85.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
292,Faanui,PF,80.55,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
293,Scarborough,GB,53.78,few clouds,54.2797,-0.4044,The Grand Hotel Scarborough
294,Ambon,ID,83.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
295,Tres Arroyos,AR,45.18,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
296,Nago,JP,75.63,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
297,Chuy,UY,53.06,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
298,Marrakesh,MA,73.47,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
299,Hamilton,US,86.04,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
300,Kismayo,SO,77.31,light rain,-0.3582,42.5454,Agan-Hotel
301,Salinas,US,89.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
303,San Patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
304,Digapahandi,IN,84.31,overcast clouds,19.3667,84.5833,Tiffin Hotel
305,Corowa,AU,53.78,overcast clouds,-36.0333,146.3833,Statesman Motor Inn
307,Aksu,CN,79.61,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
308,Naraini,IN,86.4,overcast clouds,25.1833,80.4833,Chaurasiya marriage hall
309,Inuvik,CA,63.46,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
310,Nome,US,46.17,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
311,Charters Towers,AU,72.27,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
313,Son La,VN,71.67,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
314,Sola,VU,80.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
316,Half Moon Bay,US,79.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
317,Khor,RU,70.81,few clouds,47.8861,134.9464,Gostinitsa Deksi
318,Guerrero Negro,MX,67.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
320,Roald,NO,56.75,light intensity drizzle,62.5833,6.1333,Flem Cabins
322,Bossangoa,CF,69.17,light rain,6.4926,17.4552,LA PERLE DE BOSTON
323,Ponta Delgada,PT,64.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
324,Coihaique,CL,41.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
325,Constitucion,CL,50.81,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
326,Sitka,US,64.29,clear sky,57.0531,-135.33,Westmark Sitka
327,Porto Walter,BR,71.22,clear sky,-8.2686,-72.7439,Hotel Silva
328,Castelo Do Piaui,BR,75.2,broken clouds,-5.3222,-41.5525,Nobre Hotel
329,Axim,GH,73.89,heavy intensity rain,4.8699,-2.2405,Axim Beach Resort And Spa
330,Chapleau,CA,69.89,few clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
331,Wum,CM,63.61,broken clouds,6.3833,10.0667,Wum Council Hall
332,Mutoko,ZW,53.74,clear sky,-17.397,32.2268,Mutoko Hotel
333,Longyearbyen,SJ,39.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
334,Lata,PT,61.86,clear sky,40.1629,-8.3327,Casa Maquia
335,Broken Hill,AU,57.56,few clouds,-31.95,141.4333,Royal Exchange Hotel
336,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
337,Lodwar,KE,81.66,few clouds,3.1191,35.5973,Solmar Gracious Hotel
339,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
341,Yanam,IN,85.98,overcast clouds,16.7333,82.2167,The Regency Hotel
342,Requena,ES,67.78,overcast clouds,39.4883,-1.1004,Hotel Avenida
344,Caravelas,BR,68.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
345,Quepos,CR,76.75,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
348,Sehithwa,BW,47.01,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
350,Mana,GF,75.74,scattered clouds,5.6592,-53.7767,LE SAMANA
351,Biak,ID,81.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
352,Gravdal,NO,48.33,scattered clouds,68.1214,13.5031,Skreda Rorbusuiter
353,Noyabrsk,RU,57.15,light rain,63.1994,75.4507,Hotel Uyutnaya
354,Svetlogorsk,BY,48.58,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
355,Sibu,MY,77.31,thunderstorm with light rain,2.3,111.8167,RH HOTEL (4 Star)
356,Kirensk,RU,71.24,overcast clouds,57.7853,108.1119,Kirenskiy Plos
357,Mount Isa,AU,71.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
358,Juneau,US,67.84,broken clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
359,Dedza,MW,52.9,clear sky,-14.3779,34.3332,Kapeleta Dedza Estates
360,Castlerea,IE,55.04,overcast clouds,53.7667,-8.5,Armcashel
361,Berlevag,NO,39.15,broken clouds,70.8578,29.0864,Kvitbrakka
362,Muborak,UZ,85.75,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
363,Zeya,RU,75.88,broken clouds,53.75,127.2667,Kapital Inn
364,Totness,SR,77.56,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
365,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
366,Zlobin,HR,61.63,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
367,Diffa,NE,86.49,overcast clouds,13.3154,12.6113,ProDAF/Diffa
368,Tual,ID,81.81,broken clouds,-5.6667,132.75,Grand Vilia Hotel
369,Grand Junction,US,85.33,clear sky,39.0639,-108.5507,Grand Junction Palomino Inn
371,Namibe,AO,63.63,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
372,Dwarka,IN,84.81,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
373,Markova,UA,48.42,few clouds,48.6758,24.4138,Vas.VOM
374,Itagi,BR,59.85,clear sky,-14.1628,-40.0061,Pousada Itagi
