,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Carnarvon,AU,-24.8667,113.6333,71.4,84,76,3.36,broken clouds
122,Baykalovo,RU,57.3981,63.7684,58.78,91,30,4.97,scattered clouds
123,Hambantota,LK,6.1241,81.1185,75.54,100,75,2.3,moderate rain
124,Turayf,SA,31.6725,38.6637,71.85,56,0,13.8,clear sky
125,Sirjan,IR,29.452,55.6814,74.73,20,0,2.55,clear sky
126,Seoul,KR,37.5683,126.9778,69.37,72,75,2.3,broken clouds
127,Naze,JP,28.3667,129.4833,74.32,89,100,13.65,overcast clouds
128,Nikolskoye,RU,59.7035,30.7861,55.8,94,13,9.44,few clouds
129,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,70.79,61,0,5.41,clear sky
130,Pangnirtung,CA,66.1451,-65.7125,37.49,100,100,3.91,overcast clouds
131,Khatanga,RU,71.9667,102.5,64.36,38,27,10.16,scattered clouds
132,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,0,12.66,clear sky
133,North Bend,US,43.4065,-124.2243,61.92,97,100,6.91,overcast clouds
134,Kavaratti,IN,10.5669,72.642,83.46,73,100,14.9,moderate rain
135,Avera,US,33.194,-82.5271,87.85,52,81,11.12,broken clouds
136,Kodiak,US,57.79,-152.4072,54.91,76,75,5.75,broken clouds
137,Tilichiki,RU,60.4667,166.1,50.32,71,86,11.41,overcast clouds
138,Bengkulu,ID,-3.8004,102.2655,76.8,87,100,3.2,overcast clouds
139,Sorong,ID,-0.8833,131.25,81.32,78,22,3.13,few clouds
140,Ulladulla,AU,-35.35,150.4667,61.77,55,92,10.25,overcast clouds
141,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,87,75,5.75,broken clouds
142,Adeje,ES,28.1227,-16.726,67.32,75,20,1.14,few clouds
143,Zambezi,ZM,-13.5432,23.1047,54.48,51,0,3.76,clear sky
144,Dikson,RU,73.5069,80.5464,35.71,85,100,5.91,overcast clouds
145,Chernyshevskiy,RU,63.0128,112.4714,69.42,42,100,4.25,overcast clouds
146,Karratha,AU,-20.7377,116.8463,76.33,41,10,11.12,clear sky
147,Cortez,US,37.3489,-108.5859,83.16,6,0,8.05,clear sky
148,Hailar,CN,49.2,119.7,67.77,56,16,6.58,few clouds
149,Polunochnoye,RU,60.8697,60.4153,57.42,70,22,2.62,few clouds
150,Pevek,RU,69.7008,170.3133,35.04,80,19,8.43,few clouds
151,Thompson,CA,55.7435,-97.8558,68.16,40,75,5.75,broken clouds
152,Morant Bay,JM,17.8815,-76.4093,80.22,87,100,9.24,overcast clouds
153,Bucerias,MX,20.75,-105.3333,78.98,94,100,9.22,overcast clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,6,5.99,clear sky
155,Baijiantan,CN,45.6333,85.1833,82.26,27,100,14.12,overcast clouds
156,Ponta Do Sol,PT,32.6667,-17.1,68.63,75,22,9.53,few clouds
157,Suez,EG,29.9737,32.5263,70.68,84,0,9.26,clear sky
158,Qaanaaq,GL,77.484,-69.3632,27.52,80,19,3.51,few clouds
159,Lebu,CL,-37.6167,-73.65,50.67,86,76,6.31,broken clouds
160,Vao,NC,-22.6667,167.4833,73.87,82,93,21.36,overcast clouds
161,Moberly,US,39.4184,-92.4382,85.98,54,0,11.5,clear sky
162,Saint George,US,37.1041,-113.5841,99.63,5,0,3.0,clear sky
163,Port Moresby,PG,-9.4431,147.1797,85.42,74,40,5.75,haze
164,Nuevo Progreso,MX,23.1667,-97.95,82.54,78,89,7.56,overcast clouds
165,Bykovo,RU,55.6361,38.0803,56.93,82,0,4.47,clear sky
166,Morros,BR,-9.4467,-46.3003,78.8,38,100,3.6,overcast clouds
167,Evensk,RU,61.95,159.2333,48.88,67,80,10.6,broken clouds
168,Yulara,AU,-25.2406,130.9889,63.45,41,7,7.58,clear sky
169,Jacareacanga,BR,-6.2222,-57.7528,72.19,97,77,1.52,broken clouds
170,Volnovakha,UA,47.601,37.4967,51.15,93,0,7.43,clear sky
171,Tiksi,RU,71.6872,128.8694,37.65,72,15,12.57,few clouds
172,Salalah,OM,17.0151,54.0924,84.29,84,40,4.61,scattered clouds
173,Hovd,MN,48.0056,91.6419,70.74,35,73,2.75,broken clouds
174,Kavieng,PG,-2.5744,150.7967,84.87,69,30,12.88,scattered clouds
175,Kaitangata,NZ,-46.2817,169.8464,48.06,88,98,12.3,overcast clouds
176,Sainte-Maxime,FR,43.3,6.6333,74.93,87,0,6.64,clear sky
177,Mumford,GH,5.2618,-0.759,74.1,96,100,3.98,heavy intensity rain
178,Codrington,AU,-38.2667,141.9667,57.34,86,66,16.02,broken clouds
179,Mayo,US,38.8876,-76.5119,81.01,72,0,13.8,clear sky
180,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,3.44,overcast clouds
181,Durban,ZA,-29.8579,31.0292,54.01,63,0,3.0,clear sky
182,Bilma,NE,18.6853,12.9164,91.0,27,100,8.25,overcast clouds
183,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,88,82,8.55,broken clouds
184,Matay,EG,28.419,30.7792,77.43,56,0,15.08,clear sky
185,Shamary,RU,57.3434,58.2199,57.9,93,44,3.24,scattered clouds
186,Zarubino,RU,42.63,131.0922,57.67,85,100,7.49,overcast clouds
187,Grindavik,IS,63.8424,-22.4338,48.15,87,75,13.8,broken clouds
188,Simpang,ID,-1.2667,104.0833,76.8,92,100,3.02,overcast clouds
189,Portland,US,45.5234,-122.6762,70.79,52,75,10.36,broken clouds
190,San,ML,13.3034,-4.8956,88.43,44,100,13.0,overcast clouds
191,Khash,IR,28.2211,61.2158,78.4,37,0,3.04,clear sky
192,Trincomalee,LK,8.5711,81.2335,79.12,84,100,15.52,overcast clouds
193,Hearst,CA,49.6835,-83.6665,71.85,78,2,4.59,clear sky
194,Teahupoo,PF,-17.8333,-149.2667,78.76,78,44,17.36,light rain
195,Antofagasta,CL,-23.65,-70.4,54.68,85,95,4.97,overcast clouds
196,Hasaki,JP,35.7333,140.8333,72.28,78,99,5.48,overcast clouds
197,Kudahuvadhoo,MV,2.6708,72.8944,83.23,70,86,7.58,overcast clouds
198,Caxito,AO,-8.5785,13.6643,63.54,97,23,2.24,few clouds
199,Luocheng,CN,29.3848,104.0286,73.24,80,100,1.3,overcast clouds
200,Santa Maria,BR,-29.6842,-53.8069,51.1,100,0,1.14,clear sky
201,Carauari,BR,-4.8828,-66.8958,71.92,97,24,1.03,few clouds
202,Belyy Yar,RU,53.6039,91.3903,67.89,68,0,2.24,clear sky
203,Richards Bay,ZA,-28.783,32.0377,55.74,65,9,11.21,clear sky
204,Jalu,LY,29.0331,21.5482,75.52,58,0,11.07,clear sky
205,Eyl,SO,7.9803,49.8164,78.12,76,99,20.02,overcast clouds
206,San Cristobal,VE,7.7669,-72.225,65.26,98,99,3.27,overcast clouds
207,Bubaque,GW,11.2833,-15.8333,79.99,84,99,11.21,overcast clouds
208,Kurchum,KZ,48.5722,83.6542,62.17,76,5,1.3,clear sky
209,Aire-Sur-La-Lys,FR,50.6387,2.3988,59.83,90,2,4.29,clear sky
210,New Norfolk,AU,-42.7826,147.0587,49.91,83,91,0.92,overcast clouds
211,Kelvington,CA,52.1667,-103.5343,56.1,74,43,7.65,scattered clouds
212,Flinders,AU,-34.5833,150.8552,64.18,60,99,4.0,overcast clouds
213,Vrangel,RU,42.7297,133.0839,58.75,79,99,10.96,overcast clouds
214,Salta,AR,-24.7859,-65.4117,50.59,75,0,6.91,clear sky
215,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,82,75,10.78,broken clouds
216,Kruisfontein,ZA,-34.0033,24.7314,46.89,79,84,7.54,broken clouds
217,Nenjiang,CN,49.1833,125.2167,63.36,82,99,8.66,overcast clouds
218,Arraial Do Cabo,BR,-22.9661,-42.0278,68.56,71,2,11.12,clear sky
219,Padang,ID,-0.9492,100.3543,78.85,78,63,4.21,broken clouds
220,Juegang,CN,32.3174,121.1855,83.91,58,61,9.69,broken clouds
221,Hoa Binh,VN,20.8133,105.3383,79.93,88,100,1.39,moderate rain
222,Gull Lake,CA,50.1001,-108.4847,51.58,92,100,27.87,overcast clouds
223,Lixourion,GR,38.2019,20.4314,72.57,83,27,2.51,scattered clouds
224,Tiznit,MA,29.5833,-9.5,68.94,69,5,0.98,clear sky
225,Narsaq,GL,60.9167,-46.05,48.42,69,0,2.39,clear sky
226,Granja,BR,-3.1203,-40.8261,70.68,93,25,3.4,scattered clouds
227,Lasa,IT,46.6166,10.7002,63.48,75,2,3.94,clear sky
228,Fortuna,US,40.5982,-124.1573,63.93,75,20,12.66,few clouds
229,Kyra,RU,49.5776,111.9753,68.59,59,100,3.27,overcast clouds
230,Atasu,KZ,48.6814,71.6433,61.66,52,19,3.4,few clouds
231,Lovozero,RU,68.005,35.0117,47.53,80,100,10.22,overcast clouds
232,Elko,US,41.0002,-115.5012,79.23,17,0,5.03,clear sky
233,Pineville,US,31.3224,-92.4343,89.49,66,0,8.05,clear sky
234,Starosubkhangulovo,RU,53.1031,57.4423,54.86,91,0,1.07,clear sky
235,Ozernovskiy,RU,51.5,156.5167,54.32,60,69,14.03,broken clouds
236,Hermosillo,MX,29.0667,-110.9667,105.71,16,0,13.0,clear sky
237,Clyde River,CA,70.4692,-68.5914,32.23,93,100,27.63,light snow
238,Ahipara,NZ,-35.1667,173.1667,61.23,61,4,7.78,clear sky
239,Dauriya,RU,49.9333,116.8667,68.76,50,1,5.66,clear sky
240,Marawi,PH,7.9986,124.2928,78.93,61,27,2.17,scattered clouds
241,Isabela,PH,6.7085,121.9711,87.85,68,100,1.39,overcast clouds
242,Taoudenni,ML,22.6783,-3.9836,95.4,9,0,2.19,clear sky
243,Batagay,RU,67.6333,134.6333,64.62,42,49,10.45,scattered clouds
244,Muros,ES,42.7762,-9.0603,70.09,80,52,3.15,broken clouds
245,Yambio,SS,4.5721,28.3955,65.66,97,48,0.81,light rain
246,Eureka,US,40.8021,-124.1637,64.2,73,48,5.99,scattered clouds
247,Fare,PF,-16.7,-151.0167,80.35,72,0,15.7,clear sky
248,Korla,CN,41.7597,86.1469,85.6,19,61,14.47,broken clouds
249,Mount Gambier,AU,-37.8333,140.7667,56.53,83,67,9.15,broken clouds
250,Oktyabrskoye,RU,43.0645,44.7417,62.35,93,96,4.47,overcast clouds
251,Sardulgarh,IN,29.7,75.25,94.32,36,0,10.51,clear sky
252,Atar,MR,20.5169,-13.0499,92.82,31,4,1.81,clear sky
253,Kalianget,ID,-7.05,113.9333,83.21,78,74,14.41,broken clouds
254,Zarnovica,SK,48.4812,18.7157,56.39,80,22,3.04,few clouds
255,Warri,NG,5.5167,5.75,74.21,95,86,2.24,overcast clouds
256,Burhaniye,TR,39.5004,26.9727,69.71,68,0,19.57,clear sky
257,Stykkisholmur,IS,65.0757,-22.7297,45.79,80,27,10.47,scattered clouds
258,Mirnyy,RU,62.5353,113.9611,69.24,46,49,7.0,scattered clouds
259,Yatou,CN,37.15,122.3833,71.91,67,100,6.71,overcast clouds
260,Arbuzynka,UA,47.9097,31.3196,52.9,76,12,7.25,few clouds
261,Cockburn Town,TC,21.4612,-71.1419,80.56,78,40,11.5,scattered clouds
262,Zhezkazgan,KZ,47.8043,67.7144,64.38,45,0,4.47,clear sky
263,Monte Alegre,BR,-2.0078,-54.0692,72.54,93,86,1.66,overcast clouds
264,Longkou,CN,37.6508,120.3286,73.74,67,87,8.14,overcast clouds
265,Petatlan,MX,17.5167,-101.2667,80.4,84,100,8.34,overcast clouds
266,Sicuani,PE,-14.2694,-71.2261,43.32,56,9,5.7,clear sky
267,Gedo,ET,9.0167,37.45,49.26,97,64,1.54,broken clouds
268,Kulhudhuffushi,MV,6.6221,73.07,82.72,74,100,10.47,overcast clouds
